LOCATION,TIME,Value
NOR,2022,5.764123
POL,2010,2.583333
POL,2011,4.266667
POL,2012,3.7
POL,2013,0.9
POL,2014,-0.025
POL,2015,-0.9333333
POL,2016,-0.5833333
POL,2017,1.975
POL,2018,1.666667
POL,2019,2.308333
POL,2020,3.4
POL,2021,5.1
POL,2022,14.3
PRT,2010,1.402573
PRT,2011,3.653011
PRT,2012,2.773339
PRT,2013,0.2744167
PRT,2014,-0.2781534
PRT,2015,0.4879386
PRT,2016,0.6073971
PRT,2017,1.368614
PRT,2018,0.9937157
PRT,2019,0.3381784
PRT,2020,-0.01243833
PRT,2021,1.265657
PRT,2022,7.832691
SVK,2010,0.9570181
SVK,2011,3.919286
SVK,2012,3.606103
SVK,2013,1.400474
SVK,2014,-0.07616533
SVK,2015,-0.3252198
SVK,2016,-0.5200102
SVK,2017,1.311946
SVK,2018,2.514037
SVK,2019,2.664561
SVK,2020,1.936941
SVK,2021,3.149606
SVK,2022,12.77415
ESP,2010,1.799865
ESP,2011,3.196102
ESP,2012,2.446128
ESP,2013,1.408581
ESP,2014,-0.1511148
ESP,2015,-0.5003657
ESP,2016,-0.202598
ESP,2017,1.956076
ESP,2018,1.674981
ESP,2019,0.699519
ESP,2020,-0.322753
ESP,2021,3.093135
ESP,2022,8.390576
SWE,2010,1.157988
SWE,2011,2.961151
SWE,2012,0.8883775
SWE,2013,-0.04429297
SWE,2014,-0.1796385
SWE,2015,-0.04678474
SWE,2016,0.9842693
SWE,2017,1.794499
SWE,2018,1.953535
SWE,2019,1.784151
SWE,2020,0.4973673
SWE,2021,2.163197
SWE,2022,8.369291
CHE,2010,0.6882387
CHE,2011,0.2313492
CHE,2012,-0.692552
CHE,2013,-0.2173232
CHE,2014,-0.01320254
CHE,2015,-1.143909
CHE,2016,-0.4346187
CHE,2017,0.5337878
CHE,2018,0.9363354
CHE,2019,0.3628862
CHE,2020,-0.725875
CHE,2021,0.5818142
CHE,2022,2.835028
TUR,2010,8.566444
TUR,2011,6.471879
TUR,2012,8.89157
TUR,2013,7.49309
TUR,2014,8.854572
TUR,2015,7.670854
TUR,2016,7.775134
TUR,2017,11.14431
TUR,2018,16.33246
TUR,2019,15.17682
TUR,2020,12.27896
TUR,2021,19.59649
TUR,2022,72.30884
GBR,2010,2.5
GBR,2011,3.8
GBR,2012,2.6
GBR,2013,2.3
GBR,2014,1.5
GBR,2015,0.4
GBR,2016,1
GBR,2017,2.6
GBR,2018,2.3
GBR,2019,1.7
GBR,2020,1
GBR,2021,2.5
GBR,2022,7.9
USA,2010,1.640043
USA,2011,3.156842
USA,2012,2.069337
USA,2013,1.464833
USA,2014,1.622223
USA,2015,0.1186271
USA,2016,1.261583
USA,2017,2.13011
USA,2018,2.442583
USA,2019,1.81221
USA,2020,1.233584
USA,2021,4.697859
USA,2022,8.0028
BRA,2010,5.038727
BRA,2011,6.63645
BRA,2012,5.403499
BRA,2013,6.204311
BRA,2014,6.32904
BRA,2015,9.029901
BRA,2016,8.739143
BRA,2017,3.446373
BRA,2018,3.66485
BRA,2019,3.732976
BRA,2020,3.211768
BRA,2021,8.30166
BRA,2022,9.280107
CHL,2010,1.410711
CHL,2011,3.341217
CHL,2012,3.007448
CHL,2013,1.789556
CHL,2014,4.718675
CHL,2015,4.348773
CHL,2016,3.786194
CHL,2017,2.182719
CHL,2018,2.43489
CHL,2019,2.557545
CHL,2020,3.045491
CHL,2021,4.524569
CHL,2022,11.64387
CHN,2010,3.3
CHN,2011,5.4
CHN,2012,2.6
CHN,2013,2.6
CHN,2014,2
CHN,2015,1.4
CHN,2016,2
CHN,2017,1.6
CHN,2018,2.1
CHN,2019,2.9
CHN,2020,2.5
CHN,2021,0.9
EST,2010,2.972045
EST,2011,4.981901
EST,2012,3.9334
EST,2013,2.780567
EST,2014,-0.1061751
EST,2015,-0.492326
EST,2016,0.1486849
EST,2017,3.417236
EST,2018,3.436327
EST,2019,2.277259
EST,2020,-0.4445311
EST,2021,4.653167
EST,2022,19.39826
IND,2010,11.98939
IND,2011,8.858361
IND,2012,9.312446
IND,2013,10.90764
IND,2014,6.353195
IND,2015,5.872427
IND,2016,4.941027
IND,2017,2.490887
IND,2018,4.8607
IND,2019,7.659695
IND,2020,5.561349
IND,2021,4.890086
IND,2022,5.90043
IDN,2010,5.134203
IDN,2011,5.356048
IDN,2012,4.279512
IDN,2013,6.4125
IDN,2014,6.394926
IDN,2015,6.363121
IDN,2016,3.525805
IDN,2017,3.808798
IDN,2018,3.198346
IDN,2019,3.030587
IDN,2020,1.920968
IDN,2021,1.560136
IDN,2022,4.209456
ISR,2010,2.69137
ISR,2011,3.484949
ISR,2012,1.679207
ISR,2013,1.570255
ISR,2014,0.4797868
ISR,2015,-0.601291
ISR,2016,-0.5515524
ISR,2017,0.259415
ISR,2018,0.7940757
ISR,2019,0.8497831
ISR,2020,-0.6144124
ISR,2021,1.510201
ISR,2022,4.393597
RUS,2010,6.849392
RUS,2011,8.440471
RUS,2012,5.074733
RUS,2013,6.753717
RUS,2014,7.823416
RUS,2015,15.5344
RUS,2016,7.042436
RUS,2017,3.683334
RUS,2018,2.878305
RUS,2019,4.470367
RUS,2020,3.38166
RUS,2021,6.694456
SVN,2010,1.80117
SVN,2011,1.802852
SVN,2012,2.597414
SVN,2013,1.769201
SVN,2014,0.1993438
SVN,2015,-0.5255523
SVN,2016,-0.05499954
SVN,2017,1.429107
SVN,2018,1.738609
SVN,2019,1.630523
SVN,2020,-0.05485681
SVN,2021,1.917065
SVN,2022,8.833699
ZAF,2010,4.08973
ZAF,2011,4.999267
ZAF,2012,5.724658
ZAF,2013,5.784469
ZAF,2014,6.129838
ZAF,2015,4.540642
ZAF,2016,6.571396
ZAF,2017,5.184247
ZAF,2018,4.517165
ZAF,2019,4.120246
ZAF,2020,3.210036
ZAF,2021,4.611672
ZAF,2022,7.039727
OECD,2010,1.802629
OECD,2011,2.849061
OECD,2012,2.243183
OECD,2013,1.604265
OECD,2014,1.740849
OECD,2015,0.6838382
OECD,2016,1.196986
OECD,2017,2.281554
OECD,2018,2.607044
OECD,2019,2.068735
OECD,2020,1.346594
OECD,2021,3.986467
OECD,2022,9.550593
G-7,2010,1.348556
G-7,2011,2.574382
G-7,2012,1.866211
G-7,2013,1.313234
G-7,2014,1.553203
G-7,2015,0.2970661
G-7,2016,0.8668631
G-7,2017,1.769435
G-7,2018,2.088158
G-7,2019,1.52095
G-7,2020,0.8373157
G-7,2021,3.493542
G-7,2022,7.142418
OECDE,2010,2.176423
OECDE,2011,3.066572
OECDE,2012,2.848864
OECDE,2013,1.82175
OECDE,2014,1.246133
OECDE,2015,0.7350783
OECDE,2016,1.006853
OECDE,2017,2.482278
OECDE,2018,3.020349
OECDE,2019,2.613281
OECDE,2020,1.59706
OECDE,2021,4.104237
OECDE,2022,13.78401
COL,2010,2.272003
COL,2011,3.415032
COL,2012,3.169303
COL,2013,2.016993
COL,2014,2.898838
COL,2015,4.989829
COL,2016,7.513461
COL,2017,4.314313
COL,2018,3.24057
COL,2019,3.52302
COL,2020,2.52662
COL,2021,3.495073
COL,2022,10.17724
LVA,2010,-1.084636
LVA,2011,4.370736
LVA,2012,2.257789
LVA,2013,-0.02945478
LVA,2014,0.6204923
LVA,2015,0.1742414
LVA,2016,0.1406308
LVA,2017,2.930369
LVA,2018,2.53446
LVA,2019,2.811403
LVA,2020,0.2190611
LVA,2021,3.275814
LVA,2022,17.31029
SAU,2010,5.339416
SAU,2011,5.826217
SAU,2012,2.86627
SAU,2013,3.532522
SAU,2014,2.23629
SAU,2015,1.206073
SAU,2016,2.06884
SAU,2017,-0.8381946
SAU,2018,2.458142
SAU,2019,-2.093333
SAU,2020,3.445458
SAU,2021,3.06329
SAU,2022,2.474074
EA19,2010,1.6
EA19,2011,2.7
EA19,2012,2.5
EA19,2013,1.4
EA19,2014,0.4
EA19,2015,0.2
EA19,2016,0.2
EA19,2017,1.5
EA19,2018,1.8
EA19,2019,1.2
EA19,2020,0.3
EA19,2021,2.6
EA19,2022,8.4
ARG,2018,34.27723
ARG,2019,53.54831
ARG,2020,42.01509
ARG,2021,48.40938
ARG,2022,72.43076
LTU,2010,1.319214
LTU,2011,4.130276
LTU,2012,3.089983
LTU,2013,1.047479
LTU,2014,0.103758
LTU,2015,-0.8840974
LTU,2016,0.9055251
LTU,2017,3.722889
LTU,2018,2.697928
LTU,2019,2.334509
LTU,2020,1.199894
LTU,2021,4.683544
LTU,2022,19.70505
CRI,2010,5.662757
CRI,2011,4.877998
CRI,2012,4.495453
CRI,2013,5.231336
CRI,2014,4.519201
CRI,2015,0.801982
CRI,2016,-0.01747885
CRI,2017,1.625907
CRI,2018,2.221115
CRI,2019,2.096046
CRI,2020,0.7249115
CRI,2021,1.726478
G-20,2010,3.269716
G-20,2011,4.150681
G-20,2012,3.236469
G-20,2013,3.140436
G-20,2014,2.779612
G-20,2015,2.366872
G-20,2016,2.248121
G-20,2017,2.348548
G-20,2018,3.230422
G-20,2019,3.563748
G-20,2020,2.694649
G-20,2021,4.284405
G-20,2022,8.563109
EU27_2020,2010,1.8
EU27_2020,2011,2.9
EU27_2020,2012,2.6
EU27_2020,2013,1.3
EU27_2020,2014,0.4
EU27_2020,2015,0.1
EU27_2020,2016,0.2
EU27_2020,2017,1.6
EU27_2020,2018,1.8
EU27_2020,2019,1.4
EU27_2020,2020,0.7
EU27_2020,2021,2.9
EU27_2020,2022,9.2
