Year,Country Name,Indicator Name,Value
2016,Germany,Inflation,0.4917486
2017,Germany,Inflation,1.509497
2018,Germany,Inflation,1.732168
2019,Germany,Inflation,1.445667
2020,Germany,Inflation,0.1448705
2021,Germany,Inflation,3.066667
2022,Germany,Inflation,6.872574
2010,Greece,Inflation,4.712982
2011,Greece,Inflation,3.32987
2012,Greece,Inflation,1.50152
2013,Greece,Inflation,-0.9212719
2014,Greece,Inflation,-1.312242
2015,Greece,Inflation,-1.735902
2016,Greece,Inflation,-0.8256576
2017,Greece,Inflation,1.121259
2018,Greece,Inflation,0.6256205
2019,Greece,Inflation,0.2529927
2020,Greece,Inflation,-1.247972
2021,Greece,Inflation,1.223826
2022,Greece,Inflation,9.645261
2010,Hungary,Inflation,4.855558
2011,Hungary,Inflation,3.929921
2012,Hungary,Inflation,5.652145
2013,Hungary,Inflation,1.7332
2014,Hungary,Inflation,-0.2275663
2015,Hungary,Inflation,-0.06164468
2016,Hungary,Inflation,0.3947693
2017,Hungary,Inflation,2.348243
2018,Hungary,Inflation,2.850248
2019,Hungary,Inflation,3.338586
2020,Hungary,Inflation,3.326744
2021,Hungary,Inflation,5.110965
2022,Hungary,Inflation,14.60814
2010,Iceland,Inflation,5.396732
2011,Iceland,Inflation,4.001026
2012,Iceland,Inflation,5.1859
2013,Iceland,Inflation,3.872275
2014,Iceland,Inflation,2.044619
2015,Iceland,Inflation,1.633058
2016,Iceland,Inflation,1.69693
2017,Iceland,Inflation,1.760413
2018,Iceland,Inflation,2.682915
2019,Iceland,Inflation,3.013977
2020,Iceland,Inflation,2.847919
2021,Iceland,Inflation,4.444243
2022,Iceland,Inflation,8.308754
2010,Ireland,Inflation,-0.9220958
2011,Ireland,Inflation,2.557189
2012,Ireland,Inflation,1.696209
2013,Ireland,Inflation,0.5087149
2014,Ireland,Inflation,0.1825423
2015,Ireland,Inflation,-0.2898791
2016,Ireland,Inflation,0.008306338
2017,Ireland,Inflation,0.3405316
2018,Ireland,Inflation,0.4883702
2019,Ireland,Inflation,0.9390445
2020,Ireland,Inflation,-0.3345846
2021,Ireland,Inflation,2.358143
2022,Ireland,Inflation,7.807375
2010,Italy,Inflation,1.525516
2011,Italy,Inflation,2.780633
2012,Italy,Inflation,3.041363
2013,Italy,Inflation,1.219992
2014,Italy,Inflation,0.2410575
2015,Italy,Inflation,0.03878675
2016,Italy,Inflation,-0.0940214
2017,Italy,Inflation,1.226533
2018,Italy,Inflation,1.137488
2019,Italy,Inflation,0.6112469
2020,Italy,Inflation,-0.1377076
2021,Italy,Inflation,1.873783
2022,Italy,Inflation,8.20129
2010,Luxembourg,Inflation,2.273679
2011,Luxembourg,Inflation,3.410683
2012,Luxembourg,Inflation,2.662842
2013,Luxembourg,Inflation,1.73404
2014,Luxembourg,Inflation,0.628544
2015,Luxembourg,Inflation,0.4747432
2016,Luxembourg,Inflation,0.2908333
2017,Luxembourg,Inflation,1.7308
2018,Luxembourg,Inflation,1.528195
2019,Luxembourg,Inflation,1.743321
2020,Luxembourg,Inflation,0.8199573
2021,Luxembourg,Inflation,2.52692
2022,Luxembourg,Inflation,6.336008
2010,Netherlands,Inflation,1.275306
2011,Netherlands,Inflation,2.34107
2012,Netherlands,Inflation,2.455548
2013,Netherlands,Inflation,2.506899
2014,Netherlands,Inflation,0.9760351
2015,Netherlands,Inflation,0.6002482
2016,Netherlands,Inflation,0.3166667
2017,Netherlands,Inflation,1.381459
2018,Netherlands,Inflation,1.703498
2019,Netherlands,Inflation,2.633699
2020,Netherlands,Inflation,1.27246
2021,Netherlands,Inflation,2.67572
2022,Netherlands,Inflation,10.00121
2010,Norway,Inflation,2.418906
2011,Norway,Inflation,1.284952
2012,Norway,Inflation,0.6968641
2013,Norway,Inflation,2.120486
2014,Norway,Inflation,2.041703
2015,Norway,Inflation,2.171137
2016,Norway,Inflation,3.55
2017,Norway,Inflation,1.875101
2018,Norway,Inflation,2.764831
2019,Norway,Inflation,2.16773
2020,Norway,Inflation,1.286585
2021,Norway,Inflation,3.483881
2022,Norway,Inflation,5.764123
2010,Poland,Inflation,2.583333
2011,Poland,Inflation,4.266667
2012,Poland,Inflation,3.7
2013,Poland,Inflation,0.9
2014,Poland,Inflation,-0.025
2015,Poland,Inflation,-0.9333333
2016,Poland,Inflation,-0.5833333
2017,Poland,Inflation,1.975
2018,Poland,Inflation,1.666667
2019,Poland,Inflation,2.308333
2020,Poland,Inflation,3.4
2021,Poland,Inflation,5.1
2022,Poland,Inflation,14.3
2010,Portugal,Inflation,1.402573
2011,Portugal,Inflation,3.653011
2012,Portugal,Inflation,2.773339
2013,Portugal,Inflation,0.2744167
2014,Portugal,Inflation,-0.2781534
2015,Portugal,Inflation,0.4879386
2016,Portugal,Inflation,0.6073971
2017,Portugal,Inflation,1.368614
2018,Portugal,Inflation,0.9937157
2019,Portugal,Inflation,0.3381784
2020,Portugal,Inflation,-0.01243833
2021,Portugal,Inflation,1.265657
2022,Portugal,Inflation,7.832691
2010,Slovakia,Inflation,0.9570181
2011,Slovakia,Inflation,3.919286
2012,Slovakia,Inflation,3.606103
2013,Slovakia,Inflation,1.400474
2014,Slovakia,Inflation,-0.07616533
2015,Slovakia,Inflation,-0.3252198
2016,Slovakia,Inflation,-0.5200102
2017,Slovakia,Inflation,1.311946
2018,Slovakia,Inflation,2.514037
2019,Slovakia,Inflation,2.664561
2020,Slovakia,Inflation,1.936941
2021,Slovakia,Inflation,3.149606
2022,Slovakia,Inflation,12.77415
2010,Spain,Inflation,1.799865
2011,Spain,Inflation,3.196102
2012,Spain,Inflation,2.446128
2013,Spain,Inflation,1.408581
2014,Spain,Inflation,-0.1511148
2015,Spain,Inflation,-0.5003657
2016,Spain,Inflation,-0.202598
2017,Spain,Inflation,1.956076
2018,Spain,Inflation,1.674981
2019,Spain,Inflation,0.699519
2020,Spain,Inflation,-0.322753
2021,Spain,Inflation,3.093135
2022,Spain,Inflation,8.390576
2010,Sweden,Inflation,1.157988
2011,Sweden,Inflation,2.961151
2012,Sweden,Inflation,0.8883775
2013,Sweden,Inflation,-0.04429297
2014,Sweden,Inflation,-0.1796385
2015,Sweden,Inflation,-0.04678474
2016,Sweden,Inflation,0.9842693
2017,Sweden,Inflation,1.794499
2018,Sweden,Inflation,1.953535
2019,Sweden,Inflation,1.784151
2020,Sweden,Inflation,0.4973673
2021,Sweden,Inflation,2.163197
2022,Sweden,Inflation,8.369291
2010,Switzerland,Inflation,0.6882387
2011,Switzerland,Inflation,0.2313492
2012,Switzerland,Inflation,-0.692552
2013,Switzerland,Inflation,-0.2173232
2014,Switzerland,Inflation,-0.01320254
2015,Switzerland,Inflation,-1.143909
2016,Switzerland,Inflation,-0.4346187
2017,Switzerland,Inflation,0.5337878
2018,Switzerland,Inflation,0.9363354
2019,Switzerland,Inflation,0.3628862
2020,Switzerland,Inflation,-0.725875
2021,Switzerland,Inflation,0.5818142
2022,Switzerland,Inflation,2.835028
2010,United Kingdom,Inflation,2.5
2011,United Kingdom,Inflation,3.8
2012,United Kingdom,Inflation,2.6
2013,United Kingdom,Inflation,2.3
2014,United Kingdom,Inflation,1.5
2015,United Kingdom,Inflation,0.4
2016,United Kingdom,Inflation,1.0
2017,United Kingdom,Inflation,2.6
2018,United Kingdom,Inflation,2.3
2019,United Kingdom,Inflation,1.7
2020,United Kingdom,Inflation,1.0
2021,United Kingdom,Inflation,2.5
2022,United Kingdom,Inflation,7.9
2010,Estonia,Inflation,2.972045
2011,Estonia,Inflation,4.981901
2012,Estonia,Inflation,3.9334
2013,Estonia,Inflation,2.780567
2014,Estonia,Inflation,-0.1061751
2015,Estonia,Inflation,-0.492326
2016,Estonia,Inflation,0.1486849
2017,Estonia,Inflation,3.417236
2018,Estonia,Inflation,3.436327
2019,Estonia,Inflation,2.277259
2020,Estonia,Inflation,-0.4445311
2021,Estonia,Inflation,4.653167
2022,Estonia,Inflation,19.39826
2010,Russia,Inflation,6.849392
2011,Russia,Inflation,8.440471
2012,Russia,Inflation,5.074733
2013,Russia,Inflation,6.753717
2014,Russia,Inflation,7.823416
2015,Russia,Inflation,15.5344
2016,Russia,Inflation,7.042436
2017,Russia,Inflation,3.683334
2018,Russia,Inflation,2.878305
2019,Russia,Inflation,4.470367
2020,Russia,Inflation,3.38166
2021,Russia,Inflation,6.694456
2010,Slovenia,Inflation,1.80117
2011,Slovenia,Inflation,1.802852
2012,Slovenia,Inflation,2.597414
2013,Slovenia,Inflation,1.769201
2014,Slovenia,Inflation,0.1993438
2015,Slovenia,Inflation,-0.5255523
2016,Slovenia,Inflation,-0.05499954
2017,Slovenia,Inflation,1.429107
2018,Slovenia,Inflation,1.738609
2019,Slovenia,Inflation,1.630523
2020,Slovenia,Inflation,-0.05485681
2021,Slovenia,Inflation,1.917065
2022,Slovenia,Inflation,8.833699
2010,Latvia,Inflation,-1.084636
2011,Latvia,Inflation,4.370736
2012,Latvia,Inflation,2.257789
2013,Latvia,Inflation,-0.02945478
2014,Latvia,Inflation,0.6204923
2015,Latvia,Inflation,0.1742414
2016,Latvia,Inflation,0.1406308
2017,Latvia,Inflation,2.930369
2018,Latvia,Inflation,2.53446
2019,Latvia,Inflation,2.811403
2020,Latvia,Inflation,0.2190611
2021,Latvia,Inflation,3.275814
2022,Latvia,Inflation,17.31029
2010,Lithuania,Inflation,1.319214
2011,Lithuania,Inflation,4.130276
2012,Lithuania,Inflation,3.089983
2013,Lithuania,Inflation,1.047479
2014,Lithuania,Inflation,0.103758
2015,Lithuania,Inflation,-0.8840974
2016,Lithuania,Inflation,0.9055251
2017,Lithuania,Inflation,3.722889
2018,Lithuania,Inflation,2.697928
2019,Lithuania,Inflation,2.334509
2020,Lithuania,Inflation,1.199894
2021,Lithuania,Inflation,4.683544
2022,Lithuania,Inflation,19.70505
2010,Croatia,Inflation,0.0
2011,Croatia,Inflation,0.0
2012,Croatia,Inflation,0.0
2013,Croatia,Inflation,0.0
2014,Croatia,Inflation,0.0
2015,Croatia,Inflation,0.0
2016,Croatia,Inflation,0.0
2017,Croatia,Inflation,0.0
2018,Croatia,Inflation,0.0
2019,Croatia,Inflation,0.0
2020,Croatia,Inflation,0.0
2021,Croatia,Inflation,0.0
2022,Croatia,Inflation,0.0
2010,Austria,unemployment,5.191667
2011,Austria,unemployment,4.9
2012,Austria,unemployment,5.191667
2013,Austria,unemployment,5.725
2014,Austria,unemployment,6.033333
2015,Austria,unemployment,6.15
2016,Austria,unemployment,6.45
2017,Austria,unemployment,5.925
2018,Austria,unemployment,5.208333
2019,Austria,unemployment,4.841667
2020,Austria,unemployment,6.025
2021,Austria,unemployment,6.2
2022,Austria,unemployment,4.758333
2010,Belgium,unemployment,8.375
2011,Belgium,unemployment,7.216667
2012,Belgium,unemployment,7.633333
2013,Belgium,unemployment,8.55
2014,Belgium,unemployment,8.658334
2015,Belgium,unemployment,8.65
2016,Belgium,unemployment,7.85
2017,Belgium,unemployment,7.1
2018,Belgium,unemployment,5.958333
2019,Belgium,unemployment,5.366667
2020,Belgium,unemployment,5.541667
2021,Belgium,unemployment,6.275
2022,Belgium,unemployment,5.575
2010,Denmark,unemployment,7.75
2011,Denmark,unemployment,7.758333
2012,Denmark,unemployment,7.783333
2013,Denmark,unemployment,7.375
2014,Denmark,unemployment,6.925
2015,Denmark,unemployment,6.266667
2016,Denmark,unemployment,5.983333
2017,Denmark,unemployment,5.816667
2018,Denmark,unemployment,5.15
2019,Denmark,unemployment,5.025
2020,Denmark,unemployment,5.625
2021,Denmark,unemployment,5.1
2022,Denmark,unemployment,4.475
2010,Finland,unemployment,8.541667
2011,Finland,unemployment,7.966667
2012,Finland,unemployment,7.808333
2013,Finland,unemployment,8.3
2014,Finland,unemployment,8.75
2015,Finland,unemployment,9.458333
2016,Finland,unemployment,8.916667
2017,Finland,unemployment,8.766666
2018,Finland,unemployment,7.433333
2019,Finland,unemployment,6.741667
2020,Finland,unemployment,7.725
2021,Finland,unemployment,7.675
2022,Finland,unemployment,6.766667
2010,France,unemployment,9.275
2011,France,unemployment,9.216666
2012,France,unemployment,9.758333
2013,France,unemployment,10.3
2014,France,unemployment,10.275
2015,France,unemployment,10.35
2016,France,unemployment,10.06667
2017,France,unemployment,9.425
2018,France,unemployment,9.025
2019,France,unemployment,8.433333
2020,France,unemployment,8.033334
2021,France,unemployment,7.875
2022,France,unemployment,7.316667
2010,Germany,unemployment,6.575
2011,Germany,unemployment,5.516667
2012,Germany,unemployment,5.083333
2013,Germany,unemployment,4.95
2014,Germany,unemployment,4.708333
2015,Germany,unemployment,4.366667
2016,Germany,unemployment,3.908333
2017,Germany,unemployment,3.566667
2018,Germany,unemployment,3.208333
2019,Germany,unemployment,2.975
2020,Germany,unemployment,3.625
2021,Germany,unemployment,3.575
2022,Germany,unemployment,3.066667
2010,Greece,unemployment,12.95833
2011,Greece,unemployment,18.09167
2012,Greece,unemployment,24.80833
2013,Greece,unemployment,27.825
2014,Greece,unemployment,26.65
2015,Greece,unemployment,24.98333
2016,Greece,unemployment,23.875
2017,Greece,unemployment,21.84167
2018,Greece,unemployment,19.74167
2019,Greece,unemployment,17.88333
2020,Greece,unemployment,17.61667
2021,Greece,unemployment,14.79167
2022,Greece,unemployment,12.45833
2010,Hungary,unemployment,10.8
2011,Hungary,unemployment,10.65833
2012,Hungary,unemployment,10.58333
2013,Hungary,unemployment,9.633333
2014,Hungary,unemployment,7.458333
2015,Hungary,unemployment,6.516667
2016,Hungary,unemployment,4.883333
2017,Hungary,unemployment,4.05
2018,Hungary,unemployment,3.525
2019,Hungary,unemployment,3.25
2020,Hungary,unemployment,4.141667
2021,Hungary,unemployment,4.041667
2022,Hungary,unemployment,3.616667
2010,Iceland,unemployment,0.0
2011,Iceland,unemployment,0.0
2012,Iceland,unemployment,0.0
2013,Iceland,unemployment,0.0
2014,Iceland,unemployment,0.0
2015,Iceland,unemployment,0.0
2016,Iceland,unemployment,0.0
2017,Iceland,unemployment,0.0
2018,Iceland,unemployment,0.0
2019,Iceland,unemployment,0.0
2020,Iceland,unemployment,0.0
2021,Iceland,unemployment,0.0
2022,Iceland,unemployment,0.0
2010,Ireland,unemployment,14.575
2011,Ireland,unemployment,15.40833
2012,Ireland,unemployment,15.48333
2013,Ireland,unemployment,13.775
2014,Ireland,unemployment,11.88333
2015,Ireland,unemployment,9.925
2016,Ireland,unemployment,8.408334
2017,Ireland,unemployment,6.733333
2018,Ireland,unemployment,5.775
2019,Ireland,unemployment,4.975
2020,Ireland,unemployment,5.85
2021,Ireland,unemployment,6.266667
2022,Ireland,unemployment,4.5
2010,Italy,unemployment,8.541667
2011,Italy,unemployment,8.508333
2012,Italy,unemployment,10.88333
2013,Italy,unemployment,12.36667
2014,Italy,unemployment,12.825
2015,Italy,unemployment,12.0
2016,Italy,unemployment,11.75
2017,Italy,unemployment,11.25833
2018,Italy,unemployment,10.6
2019,Italy,unemployment,9.933333
2020,Italy,unemployment,9.3
2021,Italy,unemployment,9.558333
2022,Italy,unemployment,8.075
2010,Luxembourg,unemployment,4.583333
2011,Luxembourg,unemployment,4.833333
2012,Luxembourg,unemployment,5.066667
2013,Luxembourg,unemployment,5.875
2014,Luxembourg,unemployment,6.05
2015,Luxembourg,unemployment,6.458333
2016,Luxembourg,unemployment,6.333333
2017,Luxembourg,unemployment,5.616667
2018,Luxembourg,unemployment,5.5
2019,Luxembourg,unemployment,5.591667
2020,Luxembourg,unemployment,6.691667
2021,Luxembourg,unemployment,5.425
2022,Luxembourg,unemployment,4.5
2010,Netherlands,unemployment,6.066667
2011,Netherlands,unemployment,6.05
2012,Netherlands,unemployment,6.816667
2013,Netherlands,unemployment,8.191667
2014,Netherlands,unemployment,8.35
2015,Netherlands,unemployment,7.891667
2016,Netherlands,unemployment,7.0
2017,Netherlands,unemployment,5.875
2018,Netherlands,unemployment,4.866667
2019,Netherlands,unemployment,4.433333
2020,Netherlands,unemployment,4.85
2021,Netherlands,unemployment,4.225
2022,Netherlands,unemployment,3.541667
2010,Norway,unemployment,0.0
2011,Norway,unemployment,0.0
2012,Norway,unemployment,0.0
2013,Norway,unemployment,0.0
2014,Norway,unemployment,0.0
2015,Norway,unemployment,0.0
2016,Norway,unemployment,0.0
2017,Norway,unemployment,0.0
2018,Norway,unemployment,0.0
2019,Norway,unemployment,0.0
2020,Norway,unemployment,0.0
2021,Norway,unemployment,0.0
2022,Norway,unemployment,0.0
2010,Poland,unemployment,9.983334
2011,Poland,unemployment,9.95
2012,Poland,unemployment,10.39167
2013,Poland,unemployment,10.60833
2014,Poland,unemployment,9.208333
2015,Poland,unemployment,7.683333
2016,Poland,unemployment,6.283333
2017,Poland,unemployment,4.958333
2018,Poland,unemployment,3.883333
2019,Poland,unemployment,3.308333
2020,Poland,unemployment,3.216667
2021,Poland,unemployment,3.375
2022,Poland,unemployment,2.891667
2010,Portugal,unemployment,12.58333
2011,Portugal,unemployment,13.51667
2012,Portugal,unemployment,16.575
2013,Portugal,unemployment,17.175
2014,Portugal,unemployment,14.65
2015,Portugal,unemployment,13.025
2016,Portugal,unemployment,11.46667
2017,Portugal,unemployment,9.225
2018,Portugal,unemployment,7.166667
2019,Portugal,unemployment,6.675
2020,Portugal,unemployment,7.116667
2021,Portugal,unemployment,6.591667
2022,Portugal,unemployment,6.041667
2010,Slovakia,unemployment,14.425
2011,Slovakia,unemployment,13.60833
2012,Slovakia,unemployment,13.90833
2013,Slovakia,unemployment,14.13333
2014,Slovakia,unemployment,13.1
2015,Slovakia,unemployment,11.46667
2016,Slovakia,unemployment,9.658334
2017,Slovakia,unemployment,8.083333
2018,Slovakia,unemployment,6.508333
2019,Slovakia,unemployment,5.716667
2020,Slovakia,unemployment,6.658333
2021,Slovakia,unemployment,6.825
2022,Slovakia,unemployment,6.15
2010,Spain,unemployment,19.875
2011,Spain,unemployment,21.40833
2012,Spain,unemployment,24.79167
2013,Spain,unemployment,26.11667
2014,Spain,unemployment,24.45
2015,Spain,unemployment,22.075
2016,Spain,unemployment,19.65
2017,Spain,unemployment,17.23333
2018,Spain,unemployment,15.26667
2019,Spain,unemployment,14.10833
2020,Spain,unemployment,15.53333
2021,Spain,unemployment,14.79167
2022,Spain,unemployment,12.925
2010,Sweden,unemployment,8.775
2011,Sweden,unemployment,7.95
2012,Sweden,unemployment,8.15
2013,Sweden,unemployment,8.208333
2014,Sweden,unemployment,8.1
2015,Sweden,unemployment,7.591667
2016,Sweden,unemployment,7.15
2017,Sweden,unemployment,6.858333
2018,Sweden,unemployment,6.516667
2019,Sweden,unemployment,6.975
2020,Sweden,unemployment,8.541667
2021,Sweden,unemployment,8.8
2022,Sweden,unemployment,7.466667
2010,Switzerland,unemployment,0.0
2011,Switzerland,unemployment,0.0
2012,Switzerland,unemployment,0.0
2013,Switzerland,unemployment,0.0
2014,Switzerland,unemployment,0.0
2015,Switzerland,unemployment,0.0
2016,Switzerland,unemployment,0.0
2017,Switzerland,unemployment,0.0
2018,Switzerland,unemployment,0.0
2019,Switzerland,unemployment,0.0
2020,Switzerland,unemployment,0.0
2021,Switzerland,unemployment,0.0
2022,Switzerland,unemployment,0.0
2010,United Kingdom,unemployment,0.0
2011,United Kingdom,unemployment,0.0
2012,United Kingdom,unemployment,0.0
2013,United Kingdom,unemployment,0.0
2014,United Kingdom,unemployment,0.0
2015,United Kingdom,unemployment,0.0
2016,United Kingdom,unemployment,0.0
2017,United Kingdom,unemployment,0.0
2018,United Kingdom,unemployment,0.0
2019,United Kingdom,unemployment,0.0
2020,United Kingdom,unemployment,0.0
2021,United Kingdom,unemployment,0.0
2022,United Kingdom,unemployment,0.0
2010,Estonia,unemployment,16.58333
2011,Estonia,unemployment,12.35
2012,Estonia,unemployment,9.908334
2013,Estonia,unemployment,8.491667
2014,Estonia,unemployment,7.316667
2015,Estonia,unemployment,6.391667
2016,Estonia,unemployment,6.833333
2017,Estonia,unemployment,5.808333
2018,Estonia,unemployment,5.391667
2019,Estonia,unemployment,4.483333
2020,Estonia,unemployment,6.883333
2021,Estonia,unemployment,6.208333
2022,Estonia,unemployment,5.575
2010,Russia,unemployment,0.0
2011,Russia,unemployment,0.0
2012,Russia,unemployment,0.0
2013,Russia,unemployment,0.0
2014,Russia,unemployment,0.0
2015,Russia,unemployment,0.0
2016,Russia,unemployment,0.0
2017,Russia,unemployment,0.0
2018,Russia,unemployment,0.0
2019,Russia,unemployment,0.0
2020,Russia,unemployment,0.0
2021,Russia,unemployment,0.0
2010,Slovenia,unemployment,7.258333
2011,Slovenia,unemployment,8.183333
2012,Slovenia,unemployment,8.85
2013,Slovenia,unemployment,10.10833
2014,Slovenia,unemployment,9.7
2015,Slovenia,unemployment,8.983334
2016,Slovenia,unemployment,8.008333
2017,Slovenia,unemployment,6.575
2018,Slovenia,unemployment,5.125
2019,Slovenia,unemployment,4.441667
2020,Slovenia,unemployment,4.983333
2021,Slovenia,unemployment,4.775
2022,Slovenia,unemployment,4.025
2010,Latvia,unemployment,19.475
2011,Latvia,unemployment,16.20833
2012,Latvia,unemployment,15.04167
2013,Latvia,unemployment,11.86667
2014,Latvia,unemployment,10.84167
2015,Latvia,unemployment,9.875
2016,Latvia,unemployment,9.633333
2017,Latvia,unemployment,8.708333
2018,Latvia,unemployment,7.4
2019,Latvia,unemployment,6.316667
2020,Latvia,unemployment,8.091666
2021,Latvia,unemployment,7.575
2022,Latvia,unemployment,6.85
2010,Lithuania,unemployment,17.84167
2011,Lithuania,unemployment,15.39167
2012,Lithuania,unemployment,13.40833
2013,Lithuania,unemployment,11.8
2014,Lithuania,unemployment,10.725
2015,Lithuania,unemployment,9.133333
2016,Lithuania,unemployment,7.9
2017,Lithuania,unemployment,7.116667
2018,Lithuania,unemployment,6.183333
2019,Lithuania,unemployment,6.283333
2020,Lithuania,unemployment,8.516666
2021,Lithuania,unemployment,7.125
2022,Lithuania,unemployment,5.925
2010,Croatia,unemployment,0.0
2011,Croatia,unemployment,0.0
2012,Croatia,unemployment,0.0
2013,Croatia,unemployment,0.0
2014,Croatia,unemployment,0.0
2015,Croatia,unemployment,0.0
2016,Croatia,unemployment,0.0
2017,Croatia,unemployment,0.0
2018,Croatia,unemployment,0.0
2019,Croatia,unemployment,0.0
2020,Croatia,unemployment,0.0
2021,Croatia,unemployment,0.0
2022,Croatia,unemployment,0.0
2010,Austria,Exports,51.2621603273359
2011,Austria,Exports,53.9486708516394
2012,Austria,Exports,53.9736761965302
2013,Austria,Exports,53.4412932967224
2014,Austria,Exports,53.3865790462424
2015,Austria,Exports,53.0890605587958
2016,Austria,Exports,52.4063936498056
2017,Austria,Exports,54.0511531414978
2018,Austria,Exports,55.4622191178234
2019,Austria,Exports,55.7572063557543
2020,Austria,Exports,51.6128149281413
2021,Austria,Exports,55.9003086234408
2022,Austria,Exports,60.7891206732362
2010,Belgium,Exports,75.8500644792464
2011,Belgium,Exports,80.6973629124622
2012,Belgium,Exports,80.4044905064987
2013,Belgium,Exports,79.3243484015476
2014,Belgium,Exports,79.801009073623
2015,Belgium,Exports,77.8052821516798
2016,Belgium,Exports,79.4296154739536
2017,Belgium,Exports,83.1824102499921
2018,Belgium,Exports,83.0796294670067
2019,Belgium,Exports,82.3971992752511
2020,Belgium,Exports,79.4465488572451
2021,Belgium,Exports,86.8267422004768
2022,Belgium,Exports,95.3284720419935
2010,Denmark,Exports,50.5229276395878
2011,Denmark,Exports,53.8201489280677
2012,Denmark,Exports,54.6304940173438
2013,Denmark,Exports,54.8288189867113
2014,Denmark,Exports,54.6131394364014
2015,Denmark,Exports,55.418174402012
2016,Denmark,Exports,53.4259805224841
2017,Denmark,Exports,55.0773767829077
2018,Denmark,Exports,56.5598044910739
2019,Denmark,Exports,58.6471822154845
2020,Denmark,Exports,54.9296212640352
2021,Denmark,Exports,59.6585396818304
2022,Denmark,Exports,69.3139816042177
2010,Finland,Exports,38.4143975593033
2011,Finland,Exports,38.900392933262
2012,Finland,Exports,38.8082790730065
2013,Finland,Exports,38.0176291228019
2014,Finland,Exports,36.4814376235518
2015,Finland,Exports,35.4069588665232
2016,Finland,Exports,34.8104524683015
2017,Finland,Exports,37.5495468424797
2018,Finland,Exports,38.4687872116233
2019,Finland,Exports,39.8806794019795
2020,Finland,Exports,35.7875633302246
2021,Finland,Exports,39.5516253381964
2022,Finland,Exports,44.8914237716506
2010,France,Exports,26.7882998402738
2011,France,Exports,28.4213374764194
2012,France,Exports,29.2030271868495
2013,France,Exports,29.3647378670492
2014,France,Exports,29.666684498073
2015,France,Exports,30.5926223781313
2016,France,Exports,30.2475371833945
2017,France,Exports,30.9486331871
2018,France,Exports,31.7136672102555
2019,France,Exports,31.5920554143668
2020,France,Exports,27.4502276377653
2021,France,Exports,29.4487518343616
2022,France,Exports,34.0127739939978
2010,Germany,Exports,42.565473405085
2011,Germany,Exports,45.0571362806101
2012,Germany,Exports,46.3071201430804
2013,Germany,Exports,45.4186778593914
2014,Germany,Exports,45.6192633128717
2015,Germany,Exports,46.920738356608
2016,Germany,Exports,46.0732628543356
2017,Germany,Exports,47.1630406836519
2018,Germany,Exports,47.3088591421652
2019,Germany,Exports,46.6696129860707
2020,Germany,Exports,43.0131290321633
2021,Germany,Exports,47.030554591518
2022,Germany,Exports,50.3378544368446
2010,Greece,Exports,21.7981020950377
2011,Greece,Exports,25.4897745254611
